"DMSO_1"	"DMSO_2"	"DMSO_3"	"DMSO_4"	"DRUGX_1"	"DRUGX_2"	"DRUGX_3"	"DRUGX_4"
"ENSG00000167468.20"	3198	3494	4045	4340	2637	3154	3231	2804
"ENSG00000172197.11"	121	90	107	102	12	13	4	10
"ENSG00000068366.21"	4476	3840	4247	4255	4031	4698	4200	3626
"ENSG00000131979.20"	80	66	67	76	89	86	76	73
"ENSG00000042286.15"	846	827	1029	1009	688	731	817	720
"ENSG00000213853.10"	878	771	888	908	94	122	99	72
"ENSG00000102967.12"	194	216	201	204	112	146	128	103
"ENSG00000072274.14"	7502	6833	7191	7152	5514	5979	5715	5119
"ENSG00000167996.16"	43274	41427	49031	47694	66709	78731	77741	65950
"ENSG00000141510.18"	1502	1441	1599	1494	945	1119	1097	988
"ENSG00000169564.7"	6837	7110	7889	7853	4743	5611	5215	4871
"ENSG00000105281.12"	3292	3356	3795	3619	1944	2204	2058	1873
"ENSG00000176108.9"	558	614	731	714	561	690	627	519
"ENSG00000284967.2"	2513	2646	3069	3128	3007	3529	3414	2786
"ENSG00000079459.13"	214	194	231	248	134	184	118	160
"ENSG00000136381.13"	1452	1287	1329	1334	1263	1476	1222	1200
"ENSG00000123983.15"	2241	1914	2226	2198	1246	1438	1352	1192
"ENSG00000142227.11"	2662	2938	3525	3429	2086	2389	2389	2145
"ENSG00000173085.15"	406	409	497	436	138	148	178	128
"ENSG00000111684.11"	384	327	365	319	299	351	316	284
"ENSG00000197548.13"	721	675	699	751	629	724	701	639
"ENSG00000177669.4"	0	4	1	0	1	2	3	0
"ENSG00000160200.18"	672	659	800	764	664	819	723	722
"ENSG00000197142.11"	12	5	15	12	7	15	8	8
"ENSG00000110911.17"	931	783	939	924	883	1065	962	847
"ENSG00000007952.18"	1	5	4	2	1	1	0	0
"ENSG00000087086.15"	20843	20356	25048	24667	31011	36615	38307	31435
"ENSG00000196139.14"	27	28	22	22	37	38	51	51
"ENSG00000100983.12"	1106	1097	1296	1299	1573	1719	1667	1573
"ENSG00000078668.14"	2332	2135	2548	2375	1448	1672	1684	1384
